listing_id,date,num_reviews,reviewers
804194,2025-11-01,3,"414921067,4178994,122601361"
804194,2025-09-01,3,"65131352,105481891,1208862"
804194,2025-07-01,5,"595915396,2062894,202685367,18710648,127546665"
804194,2025-05-01,3,"73934686,317312854,7900320"
804194,2026-02-01,1,443391845
804194,2025-12-01,3,"133945301,29564542,289860617"
804194,2025-10-01,2,"109124948,17073809"
804194,2025-08-01,1,176325471
804194,2025-06-01,3,"284420671,211911419,676122928"
804194,2025-04-01,3,"7142344,90424358,23265998"
245574,2025-11-01,1,528072151
245574,2025-06-01,1,681524280
245574,2025-10-01,2,"802743,267501726"
245574,2026-02-01,1,41302349
245574,2025-09-01,1,35246724
245574,2025-05-01,3,"130609128,522994969,281613120"
245574,2025-04-01,1,330098835
1354973,2025-11-01,1,75721356
1354973,2025-09-01,1,26992810
1354973,2025-07-01,3,"198285386,690101191,7116432"
1354973,2025-05-01,1,183537523
1354973,2025-06-01,1,696881977
1354973,2025-04-01,4,"15400210,31943846,463268003,219359022"
1354973,2025-12-01,3,"11328147,720595652,694675022"
1354973,2025-08-01,4,"4037950,4677107,41608363,17478154"
1354973,2026-02-01,2,"745944003,391335268"
658366,2026-02-01,1,268420459
658366,2025-10-01,1,4183341
658366,2025-06-01,1,70637618
658366,2025-08-01,1,530715878
266449,2025-11-01,1,552560673
266449,2026-02-01,1,178543083
266449,2025-10-01,1,2505493
266449,2025-08-01,1,665656069
600775,2025-09-01,1,218479227
600775,2025-08-01,1,120212178
600775,2025-04-01,1,23507795
373618,2026-01-01,1,283185706
373618,2025-09-01,4,"109051552,2662875,17627703,983734"
373618,2025-05-01,2,"29642783,92913698"
373618,2025-12-01,2,"181977407,56889588"
373618,2025-10-01,2,"8310763,378502553"
373618,2025-08-01,1,74032568
373618,2025-06-01,2,"132801878,179461878"
373618,2025-04-01,1,95687875
983625,2025-05-01,1,683890990
983625,2025-10-01,1,117500553
281851,2025-10-01,1,127162441
25696,2025-11-01,2,"9551365,274805600"
25696,2025-10-01,1,479153767
25696,2025-12-01,2,"1369686,332298152"
483414,2025-08-01,1,561053151
433414,2025-05-01,1,16068767
433414,2026-02-01,1,122197492
433414,2025-12-01,1,12932632
433414,2025-10-01,1,15815313
552639,2026-03-01,1,235679814
552639,2025-11-01,4,"61847847,66197909,160224778,19918190"
552639,2025-09-01,2,"112438489,450336611"
